product_name,product_url,product_rating,product_price,product_revenue
Khăn quàng cổ thời trang vải mềm mịn,https://shopee.vn/Kh%C4%83n-qu%C3%A0ng-c%E1%BB%95-th%E1%BB%9Di-trang-v%E1%BA%A3i-m%E1%BB%81m-m%E1%BB%8Bn-i.796694481.20760603411?sp_atk=5c6b62c4-5620-4607-958d-d5edd3f4b137&xptdk=5c6b62c4-5620-4607-958d-d5edd3f4b137,5.0,13000,1989000.0
[XẢ KHO NGHỈ BÁN]-[Link 1] Khăn Turban quàng cổ cột tóc thắt nơ túi phụ kiện xinh xắn nhiều kiểu,https://shopee.vn/-X%E1%BA%A2-KHO-NGH%E1%BB%88-B%C3%81N-Link-1-Kh%C4%83n-Turban-qu%C3%A0ng-c%E1%BB%95-c%E1%BB%99t-t%C3%B3c-th%E1%BA%AFt-n%C6%A1-t%C3%BAi-ph%E1%BB%A5-ki%E1%BB%87n-xinh-x%E1%BA%AFn-nhi%E1%BB%81u-ki%E1%BB%83u-i.155592046.20947097564?sp_atk=9d224120-4207-40f2-ba26-58992346c29a&xptdk=9d224120-4207-40f2-ba26-58992346c29a,4.852,9468,19882800.0
(Hàng Mới Về) 1 Khẩu Trang Vải Cotton Thoáng Khí Chống Bụi / Sương Mù In Chữ Ny La,https://shopee.vn/(H%C3%A0ng-M%E1%BB%9Bi-V%E1%BB%81)-1-Kh%E1%BA%A9u-Trang-V%E1%BA%A3i-Cotton-Tho%C3%A1ng-Kh%C3%AD-Ch%E1%BB%91ng-B%E1%BB%A5i-S%C6%B0%C6%A1ng-M%C3%B9-In-Ch%E1%BB%AF-Ny-La-i.456300758.9864637323?sp_atk=b2a9c3ed-f75d-4f4c-ab2c-bcdd986c0907&xptdk=b2a9c3ed-f75d-4f4c-ab2c-bcdd986c0907,4.68,53246,138439600.0
Orientlii Khăn Choàng Giả Ren mini Đa Năng Họa Tiết Hoa Có Thể Tháo Rời Cho Nữ,https://shopee.vn/Orientlii-Kh%C4%83n-Cho%C3%A0ng-Gi%E1%BA%A3-Ren-mini-%C4%90a-N%C4%83ng-H%E1%BB%8Da-Ti%E1%BA%BFt-Hoa-C%C3%B3-Th%E1%BB%83-Th%C3%A1o-R%E1%BB%9Di-Cho-N%E1%BB%AF-i.460983359.15286214453?sp_atk=7c72ff51-b92a-4eb1-af71-1ae3120857bc&xptdk=7c72ff51-b92a-4eb1-af71-1ae3120857bc,4.359,45100 - 80500,14026100.0 - 25035500.0
Khăn Quàng Cổ - Khăn Choàng Cổ Len Ấm Áp Phong Cách Vintage K01,https://shopee.vn/Kha%CC%86n-Qu%C3%A0ng-C%E1%BB%95-Kh%C4%83n-Cho%C3%A0ng-C%E1%BB%95-Len-%E1%BA%A4m-%C3%81p-Phong-C%C3%A1ch-Vintage-K01-i.769085.3261115659?sp_atk=a56e9fe1-8f3b-49df-9d64-72aa037da48e&xptdk=a56e9fe1-8f3b-49df-9d64-72aa037da48e,4.836,40000 - 155000,1764000000.0 - 6835500000.0
Khuy cài khăn Eleanor Accessories đính đá ngọc trai nhân tạo phụ kiện trang sức 4878,https://shopee.vn/Khuy-c%C3%A0i-kh%C4%83n-Eleanor-Accessories-%C4%91%C3%ADnh-%C4%91%C3%A1-ng%E1%BB%8Dc-trai-nh%C3%A2n-t%E1%BA%A1o-ph%E1%BB%A5-ki%E1%BB%87n-trang-s%E1%BB%A9c-4878-i.297412293.18051786809?sp_atk=408d1d51-f9de-43b1-9ecc-d2fa40a26b99&xptdk=408d1d51-f9de-43b1-9ecc-d2fa40a26b99,5.0,37000,10915000.0
"Khăn Trùm Đầu Ninja Fullface Kiêm Khẩu Trang Chống Nắng, Chống Bụi",https://shopee.vn/Kh%C4%83n-Tr%C3%B9m-%C4%90%E1%BA%A7u-Ninja-Fullface-Ki%C3%AAm-Kh%E1%BA%A9u-Trang-Ch%E1%BB%91ng-N%E1%BA%AFng-Ch%E1%BB%91ng-B%E1%BB%A5i-i.237275747.5753914413?sp_atk=36cc939d-bcb9-400a-9b18-fd3b55b9e0bc&xptdk=36cc939d-bcb9-400a-9b18-fd3b55b9e0bc,4.874,29000,1003400000.0
LEN Yaoh wooh - Len đan khăn (KiwYcrocket - tiệm bán len),https://shopee.vn/LEN-Yaoh-wooh-Len-%C4%91an-kh%C4%83n-(KiwYcrocket-ti%E1%BB%87m-b%C3%A1n-len)-i.205410168.18759377418?sp_atk=0ca05ff4-a4bc-4868-9b76-a3a205b8388e&xptdk=0ca05ff4-a4bc-4868-9b76-a3a205b8388e,4.882,26100,54810000.0
Bộ Dụng Cụ Làm Móng Tay Chuyên Dụng + Bộ Phụ Kiện Đi Kèm Dụng Cụ Làm Bếp + Bộ Phụ Kiện Đi Kèm 70 Độc Đáo Tiện Dụng Z70,https://shopee.vn/B%E1%BB%99-D%E1%BB%A5ng-C%E1%BB%A5-L%C3%A0m-M%C3%B3ng-Tay-Chuy%C3%AAn-D%E1%BB%A5ng-B%E1%BB%99-Ph%E1%BB%A5-Ki%E1%BB%87n-%C4%90i-K%C3%A8m-D%E1%BB%A5ng-C%E1%BB%A5-L%C3%A0m-B%E1%BA%BFp-B%E1%BB%99-Ph%E1%BB%A5-Ki%E1%BB%87n-%C4%90i-K%C3%A8m-70-%C4%90%E1%BB%99c-%C4%90%C3%A1o-Ti%E1%BB%87n-D%E1%BB%A5ng-Z70-i.250800491.6656157623?sp_atk=d79ec0a7-d5ad-4ac0-b948-07f6de08be21&xptdk=d79ec0a7-d5ad-4ac0-b948-07f6de08be21,4.954,27488 - 31236,448054400.0 - 509146800.0
Áo choàng dùng khi nhuộm tóc,https://shopee.vn/%C3%81o-cho%C3%A0ng-d%C3%B9ng-khi-nhu%E1%BB%99m-t%C3%B3c-i.60610683.2373130227?sp_atk=8d552625-bc7c-480b-9702-2442df90748a&xptdk=8d552625-bc7c-480b-9702-2442df90748a,4.936,4000 - 19000,33200000.0 - 157700000.0
